Leisure-time Physical Inactivity Prevalence,,,2010,
State,FIPS Codes,County,number,percent
Georgia,13101,Echols County,740,26.9
Georgia,13103,Effingham County,8913,24.8
Georgia,13105,Elbert County,4613,31
Georgia,13107,Emanuel County,4504,27.7
Georgia,13109,Evans County,2531,32.1
Georgia,13111,Fannin County,4702,25.1
Georgia,13113,Fayette County,16627,21.8
Georgia,13115,Floyd County,21607,31.1
Georgia,13117,Forsyth County,21196,17.7
Georgia,13119,Franklin County,4944,30.1
Georgia,13121,Fulton County,132719,19.6
Georgia,13123,Gilmer County,6033,28.1
Georgia,13125,Glascock County,631,28.7
Georgia,13127,Glynn County,16555,28.2
Georgia,13129,Gordon County,9824,25.3
Georgia,13131,Grady County,5382,29.8
Georgia,13133,Greene County,3476,28
Georgia,13135,Gwinnett County,116570,21.1
Georgia,13137,Habersham County,8453,26.7
Georgia,13139,Hall County,30841,24.7
Georgia,13141,Hancock County,2157,28.6
Georgia,13143,Haralson County,6030,29
Georgia,13145,Harris County,5270,22.2
Georgia,13147,Hart County,4991,26.3
Georgia,13149,Heard County,2454,29
Georgia,13151,Henry County,34303,24.6
Georgia,13153,Houston County,24622,24.8
Georgia,13155,Irwin County,1883,26.7
Georgia,13157,Jackson County,11457,26.5
Georgia,13159,Jasper County,2971,29.4
Georgia,13161,Jeff Davis County,3246,30.8
Georgia,13163,Jefferson County,3711,30.4
Georgia,13165,Jenkins County,1588,27.2
Georgia,13167,Johnson County,2359,30.7
Georgia,13169,Jones County,6069,29.6
Georgia,13171,Lamar County,3709,28.2
Georgia,13173,Lanier County,2114,29.8
Georgia,13175,Laurens County,10668,30.8
Georgia,13177,Lee County,4851,24.6
Georgia,13179,Liberty County,11372,27.3
Georgia,13181,Lincoln County,1945,31.8
Georgia,13183,Long County,2572,26.4
Georgia,13185,Lowndes County,21071,27.3
Georgia,13187,Lumpkin County,4864,22
Georgia,13189,McDuffie County,4535,29
Georgia,13191,McIntosh County,3118,28.7
Georgia,13193,Macon County,2996,27.2
Georgia,13195,Madison County,5548,27
Georgia,13197,Marion County,2045,32
Georgia,13199,Meriwether County,4686,29.1
Georgia,13201,Miller County,1703,37.4
Georgia,13205,Mitchell County,5583,32.8
Georgia,13207,Monroe County,5349,27
Georgia,13209,Montgomery County,1854,27.8
Georgia,13211,Morgan County,3522,27
Georgia,13213,Murray County,9344,33.6
Georgia,13215,Muscogee County,40104,29.6
Georgia,13217,Newton County,18566,27.2
Georgia,13219,Oconee County,5270,23
Georgia,13221,Oglethorpe County,2942,26.8
Georgia,13223,Paulding County,24721,25.8
Georgia,13225,Peach County,5653,29
Georgia,13227,Pickens County,5244,23.6
Georgia,13229,Pierce County,4118,30.6
Georgia,13231,Pike County,3684,29.2
Georgia,13233,Polk County,8238,28.1
Georgia,13235,Pulaski County,2823,31
Georgia,13237,Putnam County,4114,25.4
Georgia,13239,Quitman County,584,30.1
Georgia,13241,Rabun County,3057,24.5
Georgia,13243,Randolph County,1981,34.7
Georgia,13245,Richmond County,40390,28
Georgia,13247,Rockdale County,17581,29.3
Georgia,13249,Schley County,927,27.5
Georgia,13251,Screven County,3583,34.4
Georgia,13253,Seminole County,2042,31.3
Georgia,13255,Spalding County,13181,28.6
Georgia,13257,Stephens County,5221,26.9
Georgia,13259,Stewart County,1413,28.5
Georgia,13261,Sumter County,7069,30.4
Georgia,13263,Talbot County,1607,30.8
Georgia,13265,Taliaferro County,436,32.8
Georgia,13267,Tattnall County,6028,30.8
Georgia,13269,Taylor County,1893,29.7
Georgia,13271,Telfair County,3974,31
Georgia,13273,Terrell County,2081,30.5
Georgia,13275,Thomas County,8526,26.2
Georgia,13277,Tift County,8629,30.6
Georgia,13279,Toombs County,5927,31.2
Georgia,13281,Towns County,2373,28.4
Georgia,13283,Treutlen County,1540,31
Georgia,13285,Troup County,14229,30
Georgia,13287,Turner County,2287,35.2
Georgia,13289,Twiggs County,2194,31.9
Georgia,13291,Union County,4760,27.8
Georgia,13293,Upson County,5614,28.1
Georgia,13295,Walker County,17201,33.7
Georgia,13297,Walton County,17462,29.4
Georgia,13299,Ware County,8886,33.1
Georgia,13301,Warren County,1250,29.1
Georgia,13303,Washington County,4333,27.8
Georgia,13305,Wayne County,6767,30.9
Georgia,13307,Webster County,605,29.9
Georgia,13309,Wheeler County,1876,30.4
Georgia,13311,White County,5026,24.8
Georgia,13313,Whitfield County,22548,32
Georgia,13315,Wilcox County,2037,27.8
Georgia,13317,Wilkes County,2216,28.1
Georgia,13319,Wilkinson County,1929,27.5
Georgia,13321,Worth County,4225,26.9
Hawaii,15001,Hawaii County,26097,18.8
Hawaii,15003,Honolulu County,139975,19.4
Hawaii,15005,Kalawao County,20,22.1
Hawaii,15007,Kauai County,8597,17
Hawaii,15009,Maui County,20492,17.7
Idaho,16001,Ada County,42855,15.3
Idaho,16003,Adams County,726,23.2
Idaho,16005,Bannock County,11600,20.1
Idaho,16007,Bear Lake County,1206,28.6
Idaho,16009,Benewah County,1768,25.7
Idaho,16011,Bingham County,6765,23
