"FIPS","pop_mean_2010"
5093,46414.5
5095,8124
5097,9479.5
5099,8986.5
5101,8332
5103,26127
5105,10443
5107,21706
5109,11288
5111,24575.5
5113,20671
5115,61810.5
5117,8705.5
5119,383190
5121,17969
5123,28216
5125,107325
5127,11255.5
5129,8191
5131,125832
5133,17100
5135,17250
5137,12398.5
5139,41596.5
5141,17280
5143,203594
5145,77213
5147,7254.5
5149,22195.5
6001,NA
6003,1169
6005,38066.5
6007,220036
6009,45534
6011,21446.5
6013,NA
6015,28621
6017,181126
6019,931849
6021,28125.5
6023,134708.5
6025,174881
6027,18529.5
6029,840919
6031,153078
6033,64718
6035,34850
6037,NA
6039,151136.5
6041,252662.5
6043,18247
6045,87834.5
6047,256285.5
6049,9685.5
6051,14218
6053,415869.5
6055,136671
6057,98779
6059,NA
6061,349240
6063,19978.5
6065,NA
6067,NA
6069,55415
6071,NA
6073,NA
6075,805349
6077,686525
6079,269875
6081,719306.5
6083,424303.5
6085,NA
6087,262718
6089,177257
6091,3238
6093,44914.5
6095,413824.5
6097,484499
6099,514905.5
6101,94771.5
6103,63533.5
6105,13795
6107,442933.5
6109,55275.5
6111,824512
6113,201019.5
6115,72271.5
8001,442659
8003,15472
8005,573512.5
8007,12073.5
8009,3791.5
8011,6504.5
8013,294866.5
8014,56012
8015,17809
8017,1833
8019,9100
8021,8272
8023,3526
8025,5830.5
8027,4263
8029,30918.5
8031,602286
8033,2063
8035,286234
8037,52161.5
8039,23112
8041,624595.5
8043,46830.5
8045,56264
8047,5459.5
8049,14819.5
8051,15318
8053,845
8055,6689
8057,1392
8059,535038
8061,1398.5
8063,8273
8065,7298.5
8067,51382.5
8069,300133.5
8071,15464
8073,5470
8075,22722
8077,146518
8079,711
8081,13806.5
8083,25537
8085,41229.5
8087,28176
8089,18843
8091,4445.5
8093,16234
8095,4457
8097,17155.5
8099,12548.5
8101,159270
8103,6643
8105,11996.5
8107,23478
8109,6115
8111,704.5
8113,7358
8115,2375.5
8117,28037.5
8119,23402
8121,4808.5
8123,253547.5
8125,10043
9001,917771.5
9003,894246
9005,189883.5
9007,165686.5
9009,862733
9011,274055
9013,152736
9015,118473.5
10001,162611
10003,538732.5
10005,197508
11001,603088
12001,247416.5
12003,27110.5
12005,169062
12007,28500
12009,543474.5
12011,NA
12013,14612
12015,159984
12017,141182.5
12019,191130
12021,321996
12023,67564
12027,34923
12029,16406
12031,865069.5
12033,297831
12035,95812
12037,11551.5
12039,46419
12041,16947.5
12043,12863
12045,15855
12047,14773
12049,27766
12051,39160
12053,172893
12055,98743
12057,NA
12059,19891
12061,138148
12063,49723.5
12065,14762
12067,8880.5
12069,297501
12071,619452.5
12073,275772.5
12075,40768
12077,8360
12079,19214.5
12081,323134
12083,331294
12085,146355.5
12086,NA
12087,73179.5
12089,73393.5
12091,180775
12093,40018.5
12095,NA
12097,269261
12099,NA
12101,465120
12103,916630.5
12105,602441.5
12107,74313
12109,190681
12111,278239
12113,151669
12115,379661
12117,423113
12119,93747
12121,41523
12123,22568
12125,15529.5
12127,494560
12129,30801
12131,55138
12133,24897.5
13001,18248.5
13003,8370.5
13005,11086
13007,3433
13009,45727.5
13011,18405
13013,69549
13015,100176
13017,17643.5
13019,19294.5
13021,155631
13023,13080.5
13025,18423
13027,16221
13029,30307.5
13031,70473
13033,23341.5
13035,23664.5
13037,6695.5
13039,50605
13043,11014
13045,110594
13047,63958.5
13049,12154
13051,265499.5
13053,11201.5
13055,26015.5
13057,214737.5
13059,116691
13061,3179
13063,259523.5
13065,6799
13067,689070.5
13069,42344
13071,45563
13073,124434
13075,17219.5
13077,127636
13079,12610.5
13081,23431
13083,16621
13085,22336.5
13087,27827.5
13089,692397.5
13091,21785.5
13093,14893.5
13095,94571
13097,132562.5
13099,10998
13101,4042
13103,52343
13105,20139
13107,22631
13109,11003.5
13111,23672.5
13113,106756
13115,96295.5
13117,176124.5
13119,22066
13121,923389
13123,28313.5
13125,3081
13127,79721
13129,55200
13131,25035.5
13133,16000
13135,807020
13137,43060.5
13139,179968.5
13141,9410
13143,28777
13145,32095.5
13147,25215
13149,11844
13151,204593.5
13153,140306.5
13155,9533
13157,60595.5
13159,13913
13161,15079.5
13163,16907
13165,8342.5
13167,9975.5
13169,28651.5
13171,18326
13173,10102
13175,48436.5
13177,28347.5
13179,63136
13181,7981
13183,14554
13185,109483.5
13187,29982
13189,21875.5
13191,14302
13193,14701
13195,28143.5
13197,8747.5
13199,21920.5
13201,6124
13205,23499
13207,26445.5
13209,9119.5
13211,17865
13213,39593.5
13215,190151
13217,100022
13219,32896
13221,14909
13223,142532.5
13225,27718
13227,29433.5
13229,18788
13231,17887
13233,41499
13235,12000.5
13237,21211.5
13239,2517
13241,16278
13243,7707.5
13245,200777
13247,85324.5
13249,5010
13251,14546.5
13253,8728
13255,64077
13257,26184
13259,6055.5
13261,32817.5
13263,6854.5
13265,1707.5
13267,25552.5
13269,8908.5
13271,16498.5
13273,9318
13275,44744.5
13277,40228.5
13279,27260
13281,10479.5
13283,6880.5
13285,67115.5
13287,8940
13289,8995.5
13291,21349
13293,27120
13295,68758.5
13297,83886
13299,36326
13301,5819
13303,21171.5
13305,30107
13307,2794
13309,7422
13311,27156
13313,102766.5
13315,9262.5
13317,10591.5
13319,9551.5
13321,21654.5
15001,185242.5
15003,954491
15005,90
15007,67158.5
15009,154979
16001,392948
16003,3964.5
16005,82955
16007,5978.5
16009,9285
16011,45688
16013,21351
16015,7030
16017,40896
16019,104413
16021,10999
16023,2899
16025,1113
16027,189175.5
16029,6970
16031,23020
16033,985
16035,8750.5
16037,4367
16039,27080.5
16041,12790
16043,13246.5
16045,16697
16047,15483.5
16049,16279
16051,26188
16053,22421.5
16055,138697.5
16057,37289
16059,7946.5
16061,3818.5
16063,5209.5
16065,37579.5
16067,20090.5
16069,39302
16071,4292
16073,11519
16075,22622
16077,7848
16079,12747
16081,10181.5
16083,77373.5
16085,9824.5
16087,10201.5
17001,67111.5
17003,8223.5
17005,17773
17007,54162.5
17009,6928
17011,34959.5
17013,5088.5
17015,15374
17017,13644
17019,201206.5
17021,34793
17023,16322
17025,13808.5
17027,37797.5
17029,53898.5
17031,NA
17033,19805.5
17035,11044.5
17037,105180.5
17039,16558.5
17041,19975
17043,917844
17045,18553
17047,6725
17049,34238
17051,22132.5
17053,14078
17055,39569.5
17057,37059.5
17059,5582.5
17061,13876
17063,50103.5
17065,8453
17067,19097
17069,4316
17071,7328.5
17073,50462
17075,29689
17077,60289.5
17079,9694.5
17081,38816.5
17083,22964.5
17085,22666.5
17087,12586.5
17089,515884
17091,113475.5
17093,115020
17095,52919
17097,704029
17099,113882
17101,16829
17103,35986
17105,38914
17107,30295.5
17109,32610.5
17111,308976
17113,169702
17115,110741.5
17117,47786.5
17119,269276.5
17121,39427
17123,12634.5
17125,14645.5
17127,15421.5
17129,12700
17131,16430
17133,32973.5
17135,30090
17137,35528.5
17139,14849.5
17141,53487
17143,186402.5
17145,22346.5
17147,16717
17149,16419
17151,4470.5
17153,6159
17155,6006.5
17157,33456.5
17159,16224
17161,147531.5
17163,270237.5
17165,24922.5
17167,197643.5
17169,7543.5
17171,5348.5
17173,22349
17175,5985.5
17177,47680
17179,135413.5
17181,17791.5
17183,81588
17185,11930.5
17187,17704.5
17189,14707
17191,16747
